Rank,Team,2022,Last 3,Last 1,Home,Away,2021,More
76,Rutgers,11.4,9.0,10.0,11.8,10.9,11.5,https://www.teamrankings.com/ncaa-basketball/team/rutgers-scarlet-knights
77,F Dickinson,11.4,11.3,11.0,11.2,11.5,13.7,https://www.teamrankings.com/ncaa-basketball/team/fairleigh-dickinson-knights
78,Fla Gulf Cst,11.5,11.0,15.0,9.8,12.5,13.6,https://www.teamrankings.com/ncaa-basketball/team/florida-gulf-coast-eagles
79,Texas St,11.5,11.3,12.0,13.2,10.6,12.2,https://www.teamrankings.com/ncaa-basketball/team/texas-state-bobcats
79,Bellarmine,11.5,12.7,12.0,11.9,11.3,9.5,https://www.teamrankings.com/ncaa-basketball/team/bellarmine-knights
81,Indiana,11.5,8.0,12.0,11.1,11.9,11.8,https://www.teamrankings.com/ncaa-basketball/team/indiana-hoosiers
82,Richmond,11.5,12.0,10.0,11.7,11.4,9.8,https://www.teamrankings.com/ncaa-basketball/team/richmond-spiders
83,San Diego St,11.5,9.0,12.0,11.9,11.3,12.8,https://www.teamrankings.com/ncaa-basketball/team/san-diego-st-aztecs
84,Fresno St,11.5,10.7,14.0,11.3,11.7,11.2,https://www.teamrankings.com/ncaa-basketball/team/fresno-st-bulldogs
85,Austin Peay,11.5,8.7,10.0,11.7,11.4,14.3,https://www.teamrankings.com/ncaa-basketball/team/austin-peay-governors
86,South Dakota,11.6,7.7,8.0,10.3,12.4,10.3,https://www.teamrankings.com/ncaa-basketball/team/south-dakota-coyotes
87,Texas,11.6,9.3,14.0,11.3,11.8,11.5,https://www.teamrankings.com/ncaa-basketball/team/texas-longhorns
88,Idaho,11.6,13.3,15.0,11.3,11.8,13.2,https://www.teamrankings.com/ncaa-basketball/team/idaho-vandals
89,Fla Atlantic,11.6,14.7,10.0,11.2,11.9,13.5,https://www.teamrankings.com/ncaa-basketball/team/florida-atlantic-owls
89,Creighton,11.6,12.3,10.0,10.9,12.1,14.1,https://www.teamrankings.com/ncaa-basketball/team/creighton-bluejays
91,Idaho St,11.6,8.3,7.0,12.6,10.9,13.9,https://www.teamrankings.com/ncaa-basketball/team/idaho-state-bengals
92,Pacific,11.6,8.7,11.0,11.2,12.0,12.1,https://www.teamrankings.com/ncaa-basketball/team/pacific-tigers
93,Belmont,11.6,7.0,7.0,11.8,11.5,11.8,https://www.teamrankings.com/ncaa-basketball/team/belmont-bruins
94,Lafayette,11.6,13.0,5.0,12.3,11.3,11.0,https://www.teamrankings.com/ncaa-basketball/team/lafayette-leopards
95,Drexel,11.7,11.3,8.0,12.1,11.3,11.2,https://www.teamrankings.com/ncaa-basketball/team/drexel-dragons
95,W Kentucky,11.7,12.7,14.0,11.5,11.8,12.4,https://www.teamrankings.com/ncaa-basketball/team/western-kentucky-hilltoppers
95,S Dakota St,11.7,9.3,7.0,10.0,12.6,10.9,https://www.teamrankings.com/ncaa-basketball/team/south-dakota-state-jackrabbits
98,Syracuse,11.7,12.0,12.0,11.9,11.4,10.7,https://www.teamrankings.com/ncaa-basketball/team/syracuse-orange
99,Jacksonville,11.7,9.3,8.0,10.2,12.6,11.7,https://www.teamrankings.com/ncaa-basketball/team/jacksonville-dolphins
100,Cleveland St,11.7,12.3,10.0,10.6,12.5,13.8,https://www.teamrankings.com/ncaa-basketball/team/cleveland-st-vikings
101,Arkansas St,11.7,9.0,10.0,11.7,11.7,14.3,https://www.teamrankings.com/ncaa-basketball/team/arkansas-st-red-wolves
102,N Dakota St,11.7,10.0,12.0,10.5,12.4,11.7,https://www.teamrankings.com/ncaa-basketball/team/north-dakota-state-bison
103,Arizona St,11.7,9.7,13.0,12.4,11.2,11.9,https://www.teamrankings.com/ncaa-basketball/team/arizona-state-sun-devils
104,Providence,11.7,10.0,10.0,11.5,12.0,11.4,https://www.teamrankings.com/ncaa-basketball/team/providence-friars
105,Rider,11.8,10.0,13.0,10.3,12.8,11.9,https://www.teamrankings.com/ncaa-basketball/team/rider-broncs
106,Kentucky,11.8,13.3,16.0,10.6,13.1,11.6,https://www.teamrankings.com/ncaa-basketball/team/kentucky-wildcats
107,CS Fullerton,11.8,10.0,12.0,10.6,12.5,11.9,https://www.teamrankings.com/ncaa-basketball/team/csu-fullerton-titans
108,Butler,11.8,11.3,11.0,11.3,12.4,12.0,https://www.teamrankings.com/ncaa-basketball/team/butler-bulldogs
109,Bradley,11.8,8.7,11.0,11.5,12.1,13.5,https://www.teamrankings.com/ncaa-basketball/team/bradley-braves
110,Niagara,11.8,13.3,12.0,11.6,12.0,11.0,https://www.teamrankings.com/ncaa-basketball/team/niagara-purple-eagles
111,Campbell,11.8,9.7,7.0,12.2,11.7,10.4,https://www.teamrankings.com/ncaa-basketball/team/campbell-fighting-camels
112,San Jose St,11.9,11.3,12.0,11.6,12.1,13.2,https://www.teamrankings.com/ncaa-basketball/team/san-jose-st-spartans
113,Longwood,11.9,12.0,15.0,11.4,12.2,12.4,https://www.teamrankings.com/ncaa-basketball/team/longwood-lancers
113,Seattle,11.9,12.0,8.0,13.3,10.9,11.8,https://www.teamrankings.com/ncaa-basketball/team/seattle-redhawks
115,NW State,11.9,13.3,7.0,12.8,11.4,14.8,https://www.teamrankings.com/ncaa-basketball/team/northwestern-st-demons
116,Marist,11.9,14.3,18.0,11.0,12.6,12.4,https://www.teamrankings.com/ncaa-basketball/team/marist-red-foxes
117,Col Charlestn,11.9,10.3,10.0,11.9,11.8,15.6,https://www.teamrankings.com/ncaa-basketball/team/charleston-cougars
118,TX Christian,11.9,9.3,9.0,12.3,11.5,14.5,https://www.teamrankings.com/ncaa-basketball/team/texas-christian-horned-frogs
119,Boston U,11.9,9.7,10.0,11.2,12.4,12.0,https://www.teamrankings.com/ncaa-basketball/team/boston-u-terriers
120,Radford,11.9,11.3,9.0,11.8,12.0,13.5,https://www.teamrankings.com/ncaa-basketball/team/radford-highlanders
121,North Texas,11.9,12.0,11.0,11.6,12.1,11.4,https://www.teamrankings.com/ncaa-basketball/team/north-texas-mean-green
122,E Michigan,11.9,11.7,11.0,11.8,12.0,13.9,https://www.teamrankings.com/ncaa-basketball/team/eastern-michigan-eagles
122,Fairfield,11.9,12.3,15.0,11.5,12.2,11.1,https://www.teamrankings.com/ncaa-basketball/team/fairfield-stags
124,Mercer,11.9,15.0,16.0,11.8,12.1,12.2,https://www.teamrankings.com/ncaa-basketball/team/mercer-bears
124,Cal Baptist,11.9,12.3,12.0,11.4,12.4,14.1,https://www.teamrankings.com/ncaa-basketball/team/california-baptist-lancers
126,NC-Grnsboro,12.0,9.3,8.0,10.8,12.7,12.8,https://www.teamrankings.com/ncaa-basketball/team/unc-greensboro-spartans
127,Duquesne,12.0,12.3,14.0,11.7,12.5,11.5,https://www.teamrankings.com/ncaa-basketball/team/duquesne-dukes
128,E Kentucky,12.0,10.0,10.0,11.4,12.3,11.4,https://www.teamrankings.com/ncaa-basketball/team/eastern-kentucky-colonels
129,Tennessee,12.0,11.0,6.0,10.9,12.9,12.3,https://www.teamrankings.com/ncaa-basketball/team/tennessee-volunteers
