Rank,Team,2022,Last 3,Last 1,Home,Away,2021
308,Mass Lowell,13.9,13.0,13.0,13.0,14.8,12.5
309,High Point,14.0,9.0,11.0,12.7,15.0,13.5
310,WI-Grn Bay,14.0,10.7,6.0,14.0,14.0,12.9
311,NC-Asheville,14.0,11.3,16.0,14.4,13.8,12.7
312,St Johns,14.0,18.3,22.0,13.8,14.2,11.9
312,American,14.0,11.7,9.0,13.2,14.6,13.3
312,Washington,14.0,11.3,11.0,12.9,15.4,11.9
315,Utah Valley,14.0,14.0,15.0,13.7,14.2,15.2
316,TX-Arlington,14.0,11.0,7.0,13.4,14.4,13.9
317,St Fran (NY),14.1,14.7,12.0,13.7,14.4,12.2
318,Chicago St,14.1,13.7,13.0,12.8,14.3,14.8
319,Rhode Island,14.1,12.3,9.0,14.6,13.6,14.1
320,Oklahoma St,14.1,13.0,11.0,13.8,14.4,15.1
321,Columbia,14.2,15.0,16.0,14.6,13.8,15.2
322,Buffalo,14.2,10.7,12.0,14.4,14.1,13.4
323,U Mass,14.3,19.0,20.0,12.7,15.6,11.6
324,Monmouth,14.3,16.0,18.0,12.2,15.7,11.7
325,Merrimack,14.3,11.3,8.0,13.9,14.7,11.8
325,BYU,14.3,12.0,9.0,14.0,14.6,12.8
327,N Illinois,14.3,14.0,17.0,13.8,14.6,13.7
328,Dartmouth,14.3,13.7,18.0,14.1,14.5,11.7
329,Grambling St,14.4,13.0,13.0,12.6,15.2,14.1
330,Northeastrn,14.4,13.0,16.0,13.8,14.8,14.0
331,Lamar,14.4,15.3,16.0,13.8,14.9,14.5
332,Illinois St,14.6,15.3,17.0,14.4,14.7,13.8
333,TX Southern,14.6,14.3,14.0,14.6,14.6,14.9
334,UC Davis,14.7,15.7,17.0,14.0,15.2,12.2
335,McNeese St,14.7,15.7,15.0,13.8,15.6,16.4
336,Florida Intl,14.8,12.7,14.0,14.8,14.8,14.0
337,Denver,14.8,17.3,15.0,14.3,15.2,12.8
337,Southern,14.8,13.0,13.0,12.9,15.7,14.7
339,Coppin St,14.9,15.3,14.0,15.9,14.5,14.4
340,Alab A&M,14.9,19.0,18.0,14.1,15.6,13.6
341,Louisville,14.9,11.0,9.0,15.0,14.9,12.2
342,Loyola-Chi,15.0,11.7,15.0,12.3,17.2,12.3
343,Hartford,15.0,17.0,17.0,16.5,13.6,12.2
343,Maryland ES,15.0,15.3,15.0,15.2,14.9,15.5
345,Utah Tech,15.2,15.3,17.0,16.2,14.6,15.3
346,Ste F Austin,15.3,16.3,10.0,14.3,16.1,15.9
347,Ark Pine Bl,15.3,12.7,10.0,16.3,14.8,13.5
